reference_mode,condition,amplitude,frequency,channel,analysis_group,physical_shank,n_trials,pre_power,stim_power,driven_log2_power_change
raw,amp100_freq10,100,10,0,A_dHPC_0-31,A_dHPC_0-127,200,101911011328.0,93737746432.0,-0.1206079246804105
raw,amp100_freq10,100,10,1,A_dHPC_0-31,A_dHPC_0-127,200,98286731264.0,90952196096.0,-0.11188819243527343
raw,amp100_freq10,100,10,2,A_dHPC_0-31,A_dHPC_0-127,200,101189058560.0,94722859008.0,-0.09526877032804289
raw,amp100_freq10,100,10,3,A_dHPC_0-31,A_dHPC_0-127,200,107236204544.0,101611864064.0,-0.07772320435657655
raw,amp100_freq10,100,10,4,A_dHPC_0-31,A_dHPC_0-127,200,121315606528.0,116797120512.0,-0.054760449693834395
raw,amp100_freq10,100,10,5,A_dHPC_0-31,A_dHPC_0-127,200,138013687808.0,134336282624.0,-0.038962344442112364
raw,amp100_freq10,100,10,6,A_dHPC_0-31,A_dHPC_0-127,200,142412136448.0,139887067136.0,-0.0258095105137834
raw,amp100_freq10,100,10,7,A_dHPC_0-31,A_dHPC_0-127,200,132229742592.0,130216665088.0,-0.02213262446584693
raw,amp100_freq10,100,10,8,A_dHPC_0-31,A_dHPC_0-127,200,108160344064.0,105858056192.0,-0.031040578047432286
raw,amp100_freq10,100,10,9,A_dHPC_0-31,A_dHPC_0-127,200,73374359552.0,71187152896.0,-0.04365910336665257
raw,amp100_freq10,100,10,10,A_dHPC_0-31,A_dHPC_0-127,200,43423596544.0,42144960512.0,-0.04311909053517539
raw,amp100_freq10,100,10,11,A_dHPC_0-31,A_dHPC_0-127,200,25717118976.0,24722720768.0,-0.05689150776034368
raw,amp100_freq10,100,10,12,A_dHPC_0-31,A_dHPC_0-127,200,22212239360.0,21045907456.0,-0.07781513062050073
raw,amp100_freq10,100,10,13,A_dHPC_0-31,A_dHPC_0-127,200,22190956544.0,21083377664.0,-0.07386584387685913
raw,amp100_freq10,100,10,14,A_dHPC_0-31,A_dHPC_0-127,200,23011190784.0,21884477440.0,-0.07242770657840077
raw,amp100_freq10,100,10,15,A_dHPC_0-31,A_dHPC_0-127,200,25017849856.0,23764037632.0,-0.0741778250183619
raw,amp100_freq10,100,10,16,A_dHPC_0-31,A_dHPC_0-127,200,16149130240.0,13685590016.0,-0.23879883251721482
raw,amp100_freq10,100,10,17,A_dHPC_0-31,A_dHPC_0-127,200,17860042752.0,15135858688.0,-0.23876500936940348
raw,amp100_freq10,100,10,18,A_dHPC_0-31,A_dHPC_0-127,200,20244905984.0,17255802880.0,-0.23047734203241646
raw,amp100_freq10,100,10,19,A_dHPC_0-31,A_dHPC_0-127,200,22743625728.0,19692494848.0,-0.2078163648701292
raw,amp100_freq10,100,10,20,A_dHPC_0-31,A_dHPC_0-127,200,25599858688.0,22649962496.0,-0.1766271850798662
raw,amp100_freq10,100,10,21,A_dHPC_0-31,A_dHPC_0-127,200,28921790464.0,26241902592.0,-0.140284546000564
raw,amp100_freq10,100,10,22,A_dHPC_0-31,A_dHPC_0-127,200,32179677184.0,29787418624.0,-0.11144674835460189
raw,amp100_freq10,100,10,23,A_dHPC_0-31,A_dHPC_0-127,200,36282658816.0,34150860800.0,-0.08735823807180232
raw,amp100_freq10,100,10,24,A_dHPC_0-31,A_dHPC_0-127,200,61819838464.0,58153431040.0,-0.08820557151253966
raw,amp100_freq10,100,10,25,A_dHPC_0-31,A_dHPC_0-127,200,61786869760.0,58057789440.0,-0.08981064346906303
raw,amp100_freq10,100,10,26,A_dHPC_0-31,A_dHPC_0-127,200,61803577344.0,58135166976.0,-0.08827920822884602
raw,amp100_freq10,100,10,27,A_dHPC_0-31,A_dHPC_0-127,200,61528469504.0,57873166336.0,-0.0883595280416169
raw,amp100_freq10,100,10,28,A_dHPC_0-31,A_dHPC_0-127,200,61968728064.0,58282700800.0,-0.08847262371337052
raw,amp100_freq10,100,10,29,A_dHPC_0-31,A_dHPC_0-127,200,99254345728.0,90542153728.0,-0.13254064583595915
raw,amp100_freq10,100,10,30,A_dHPC_0-31,A_dHPC_0-127,200,104125759488.0,94709415936.0,-0.13674724902512034
raw,amp100_freq10,100,10,31,A_dHPC_0-31,A_dHPC_0-127,200,102229254144.0,93213032448.0,-0.133204517627263
raw,amp100_freq10,100,10,32,A_dHPC_32-63,A_dHPC_0-127,200,150180167680.0,147234324480.0,-0.02858026409530076
raw,amp100_freq10,100,10,33,A_dHPC_32-63,A_dHPC_0-127,200,158708137984.0,156154101760.0,-0.023405640613144166
raw,amp100_freq10,100,10,34,A_dHPC_32-63,A_dHPC_0-127,200,148632485888.0,146502385664.0,-0.020825315387785967
raw,amp100_freq10,100,10,35,A_dHPC_32-63,A_dHPC_0-127,200,133438160896.0,131693314048.0,-0.018989207054195715
raw,amp100_freq10,100,10,36,A_dHPC_32-63,A_dHPC_0-127,200,122583580672.0,120893423616.0,-0.020029984992803757
raw,amp100_freq10,100,10,37,A_dHPC_32-63,A_dHPC_0-127,200,114166382592.0,112787996672.0,-0.017524358761045952
raw,amp100_freq10,100,10,38,A_dHPC_32-63,A_dHPC_0-127,200,108687269888.0,107545108480.0,-0.015241065530432687
raw,amp100_freq10,100,10,39,A_dHPC_32-63,A_dHPC_0-127,200,106476937216.0,105385295872.0,-0.014867392533579013
raw,amp100_freq10,100,10,40,A_dHPC_32-63,A_dHPC_0-127,200,107888123904.0,106608001024.0,-0.01722034706496928
raw,amp100_freq10,100,10,41,A_dHPC_32-63,A_dHPC_0-127,200,111189147648.0,109473947648.0,-0.022428402611195043
raw,amp100_freq10,100,10,42,A_dHPC_32-63,A_dHPC_0-127,200,117662023680.0,115561824256.0,-0.025983871080424412
raw,amp100_freq10,100,10,43,A_dHPC_32-63,A_dHPC_0-127,200,120348778496.0,117649850368.0,-0.03272201328134017
raw,amp100_freq10,100,10,44,A_dHPC_32-63,A_dHPC_0-127,200,104052400128.0,101173960704.0,-0.04047221423683347
raw,amp100_freq10,100,10,45,A_dHPC_32-63,A_dHPC_0-127,200,64674709504.0,62833139712.0,-0.04167599686797394
raw,amp100_freq10,100,10,46,A_dHPC_32-63,A_dHPC_0-127,200,34779103232.0,33849802752.0,-0.039073306676920876
raw,amp100_freq10,100,10,47,A_dHPC_32-63,A_dHPC_0-127,200,20067219456.0,19544029184.0,-0.038112805546951546
raw,amp100_freq10,100,10,48,A_dHPC_32-63,A_dHPC_0-127,200,14722269184.0,13116679168.0,-0.16659754507803837
raw,amp100_freq10,100,10,49,A_dHPC_32-63,A_dHPC_0-127,200,11235097600.0,9966883840.0,-0.17279823771846034
raw,amp100_freq10,100,10,50,A_dHPC_32-63,A_dHPC_0-127,200,8914208768.0,7876462080.0,-0.17855899804244085
raw,amp100_freq10,100,10,51,A_dHPC_32-63,A_dHPC_0-127,200,8461599744.0,7398401536.0,-0.19371684155255783
raw,amp100_freq10,100,10,52,A_dHPC_32-63,A_dHPC_0-127,200,8725656576.0,7603899904.0,-0.1985241525013394
raw,amp100_freq10,100,10,53,A_dHPC_32-63,A_dHPC_0-127,200,9932520448.0,8618695680.0,-0.20469030442357003
raw,amp100_freq10,100,10,54,A_dHPC_32-63,A_dHPC_0-127,200,12103427072.0,10538617856.0,-0.1997299335074913
raw,amp100_freq10,100,10,55,A_dHPC_32-63,A_dHPC_0-127,200,14660227072.0,12939539456.0,-0.18012117967082342
raw,amp100_freq10,100,10,56,A_dHPC_32-63,A_dHPC_0-127,200,17998540800.0,16150317056.0,-0.15631745977739275
raw,amp100_freq10,100,10,57,A_dHPC_32-63,A_dHPC_0-127,200,22517645312.0,20642662400.0,-0.1254269163065065
raw,amp100_freq10,100,10,58,A_dHPC_32-63,A_dHPC_0-127,200,28712212480.0,26740703232.0,-0.10262709853983054
raw,amp100_freq10,100,10,59,A_dHPC_32-63,A_dHPC_0-127,200,36894658560.0,34970943488.0,-0.07725524529545799
raw,amp100_freq10,100,10,60,A_dHPC_32-63,A_dHPC_0-127,200,51659264000.0,49741258752.0,-0.054584072384854125
raw,amp100_freq10,100,10,61,A_dHPC_32-63,A_dHPC_0-127,200,69445173248.0,67409272832.0,-0.04292736144055232
raw,amp100_freq10,100,10,62,A_dHPC_32-63,A_dHPC_0-127,200,105182691328.0,102831882240.0,-0.032609686425480316
raw,amp100_freq10,100,10,63,A_dHPC_32-63,A_dHPC_0-127,200,105339445248.0,103002087424.0,-0.0323721917860837
raw,amp100_freq10,100,10,64,A_dHPC_64-95,A_dHPC_0-127,200,104492285952.0,102183608320.0,-0.032232654215261995
raw,amp100_freq10,100,10,65,A_dHPC_64-95,A_dHPC_0-127,200,134243188736.0,131381010432.0,-0.03109212399248659
raw,amp100_freq10,100,10,66,A_dHPC_64-95,A_dHPC_0-127,200,153810796544.0,150865494016.0,-0.027893904795801814
raw,amp100_freq10,100,10,67,A_dHPC_64-95,A_dHPC_0-127,200,156128149504.0,153651200000.0,-0.023071640700652332
raw,amp100_freq10,100,10,68,A_dHPC_64-95,A_dHPC_0-127,200,24602509312.0,24218230784.0,-0.0227119939356215
raw,amp100_freq10,100,10,69,A_dHPC_64-95,A_dHPC_0-127,200,6849061376.0,6930617344.0,0.01707757733221492
raw,amp100_freq10,100,10,70,A_dHPC_64-95,A_dHPC_0-127,200,6342074880.0,6119379456.0,-0.051569549361291496
raw,amp100_freq10,100,10,71,A_dHPC_64-95,A_dHPC_0-127,200,18786291712.0,18460725248.0,-0.025221084724472074
raw,amp100_freq10,100,10,72,A_dHPC_64-95,A_dHPC_0-127,200,115841859584.0,114375385088.0,-0.018380066203695478
raw,amp100_freq10,100,10,73,A_dHPC_64-95,A_dHPC_0-127,200,18111838208.0,17892030464.0,-0.01761585595610504
raw,amp100_freq10,100,10,74,A_dHPC_64-95,A_dHPC_0-127,200,5452940800.0,5504477184.0,0.013571050038981037
raw,amp100_freq10,100,10,75,A_dHPC_64-95,A_dHPC_0-127,200,5495957504.0,5396365824.0,-0.02638269588721991
raw,amp100_freq10,100,10,76,A_dHPC_64-95,A_dHPC_0-127,200,17275758592.0,16678654976.0,-0.05074611227386615
raw,amp100_freq10,100,10,77,A_dHPC_64-95,A_dHPC_0-127,200,102925492224.0,100369506304.0,-0.036279323717766654
raw,amp100_freq10,100,10,78,A_dHPC_64-95,A_dHPC_0-127,200,63659540480.0,61875187712.0,-0.041015746242971496
raw,amp100_freq10,100,10,79,A_dHPC_64-95,A_dHPC_0-127,200,9211608064.0,8880693248.0,-0.052780727398147924
raw,amp100_freq10,100,10,80,A_dHPC_64-95,A_dHPC_0-127,200,2991004672.0,2605891840.0,-0.19885295924356894
raw,amp100_freq10,100,10,81,A_dHPC_64-95,A_dHPC_0-127,200,15937378304.0,14037847040.0,-0.18309263676107546
raw,amp100_freq10,100,10,82,A_dHPC_64-95,A_dHPC_0-127,200,14898413568.0,13312254976.0,-0.1624037444746633
raw,amp100_freq10,100,10,83,A_dHPC_64-95,A_dHPC_0-127,200,14152687616.0,12664008704.0,-0.16034189680906238
raw,amp100_freq10,100,10,84,A_dHPC_64-95,A_dHPC_0-127,200,12172997632.0,10857893888.0,-0.16494018928686457
raw,amp100_freq10,100,10,85,A_dHPC_64-95,A_dHPC_0-127,200,8598809600.0,7683895296.0,-0.1622990897922374
raw,amp100_freq10,100,10,86,A_dHPC_64-95,A_dHPC_0-127,200,7801185280.0,6960082944.0,-0.1645888388616845
raw,amp100_freq10,100,10,87,A_dHPC_64-95,A_dHPC_0-127,200,8316399104.0,7413847552.0,-0.1657365448964038
raw,amp100_freq10,100,10,88,A_dHPC_64-95,A_dHPC_0-127,200,1989754496.0,1740078848.0,-0.19343775593378032
raw,amp100_freq10,100,10,89,A_dHPC_64-95,A_dHPC_0-127,200,829113024.0,824959168.0,-0.007246068313963362
raw,amp100_freq10,100,10,90,A_dHPC_64-95,A_dHPC_0-127,200,681536384.0,689684352.0,0.017145556617640372
raw,amp100_freq10,100,10,91,A_dHPC_64-95,A_dHPC_0-127,200,1045511808.0,988131392.0,-0.08143456071903844
