condition,amplitude,frequency,analysis_group,n_trials,sustained_broadband_delta_mean,sustained_broadband_delta_ci_low,sustained_broadband_delta_ci_high,offset_broadband_delta_mean,offset_broadband_delta_ci_low,offset_broadband_delta_ci_high,driven_power_log2_delta_mean,driven_power_log2_delta_ci_low,driven_power_log2_delta_ci_high
amp100_freq5,100,5,Group 0-31,200,3.3978774642944334,-3.213258794784546,9.766498302459713,6.692817916870117,-4.200838409423828,17.038948949813832,-0.1671109206863713,-0.37486316416484333,0.04874908918614739
amp100_freq5,100,5,Group 32-63,200,1.9557442855834961,-3.424419490814209,7.008285901069639,5.718845901489257,-3.142125615119934,14.6670643825531,-0.08980896902950958,-0.30330567072159575,0.13673334524382993
amp100_freq5,100,5,Group 64-95,200,0.42450775146484376,-4.364530690193177,5.042307923316955,3.836004753112793,-3.391132564544678,11.504628468036652,-0.0051652678518482546,-0.18892281121446444,0.19320943225469456
amp100_freq5,100,5,Group 96-127,200,0.6111045837402344,-2.7877292823791504,3.938997637748717,3.4349711418151854,-2.2456079416275023,9.121840061664578,-0.06635790707004365,-0.2570943327589319,0.1304851391572412
amp180_freq5,180,5,Group 0-31,200,-1.1737831878662108,-8.393418083190918,5.272675231933593,1.0028868865966798,-9.205341527938844,12.142840747833244,-0.055184794251886375,-0.2752097170525377,0.1553650256629959
amp180_freq5,180,5,Group 32-63,200,-1.0520961380004883,-6.122405621528625,4.2727548589706394,1.385142593383789,-6.847154819488525,9.403659478187562,-0.004925938885681056,-0.20222402908295353,0.1944851120224623
amp180_freq5,180,5,Group 64-95,200,1.1875179672241212,-3.4946847715377807,5.5824801549911465,2.9403135108947756,-4.737167174816132,10.839488615512845,0.08115442570423326,-0.12485364794667314,0.27468670177944
amp180_freq5,180,5,Group 96-127,200,-0.32351978302001955,-3.69575984954834,3.0741827001571616,3.5841189765930177,-2.1673839468955993,9.377216999530788,0.18188392710130227,-0.00849833317973371,0.3676106220934583
amp250_freq5,250,5,Group 0-31,200,0.23683780670166016,-6.320723986625671,6.939854519844054,-1.2680036926269531,-11.952153227806091,9.41780428123474,-0.0005140275028251473,-0.23028017864961156,0.22415704792687866
amp250_freq5,250,5,Group 32-63,200,2.4959124755859374,-2.816981739044189,7.5235763607025135,-3.279547538757324,-11.828934460639955,5.117396402359009,-0.003259701951507985,-0.21376300717081442,0.1982071167167019
amp250_freq5,250,5,Group 64-95,200,0.1590994644165039,-4.463194733619689,4.617553067207333,2.7939857864379882,-5.852984350204467,11.502728615760804,-0.08826857763617031,-0.2844473176948192,0.09961663698444005
amp250_freq5,250,5,Group 96-127,200,-0.5738524627685547,-3.6550040979385376,2.4703679218292223,0.6421800804138184,-4.3876861758232115,5.574134526729581,-0.07679325768313479,-0.28856835442789297,0.1456215914017536
amp100_freq26,100,26,Group 0-31,200,5.361889114379883,-1.056340019226074,11.773814739227292,-0.25830074310302736,-10.510025535583496,10.561308680534362,0.0779390085769864,-0.10847248888216196,0.26619933750014085
amp100_freq26,100,26,Group 32-63,200,4.859096031188965,-0.14731365966796875,10.08164681148529,6.699368267059326,-1.6314725918769837,15.391449329376211,0.1979968309795067,0.004866086488850063,0.40423381001911046
amp100_freq26,100,26,Group 64-95,200,2.2973312377929687,-2.119354006767273,6.717814888000485,1.5853763580322267,-5.990291288375855,10.009694428443906,0.024786445297940954,-0.16944227279811355,0.2232183213319306
amp100_freq26,100,26,Group 96-127,200,0.5564120483398437,-2.8610900430679322,4.218619762420654,-2.7199278450012208,-8.01592661857605,2.420543783187864,0.00502422512362755,-0.18558532422282337,0.19083936462994452
amp180_freq26,180,26,Group 0-31,200,10.12865333557129,4.764943033218384,15.382460792541503,17.20575210571289,6.835731831550598,28.711333665847768,0.09841732514161436,-0.08754328317280367,0.27929774083821884
amp180_freq26,180,26,Group 32-63,200,7.4674203491210935,2.890028462409973,11.794856683731078,12.582957763671875,4.1380348281860355,20.935831062316876,-0.08936926442849391,-0.2951032959647683,0.10830384632841326
amp180_freq26,180,26,Group 64-95,200,5.031173629760742,0.7897332668304443,9.430877701759337,12.144244308471679,3.1033746280670167,21.41235300922394,-0.07787796855341668,-0.25777041759511216,0.1021614912365733
amp180_freq26,180,26,Group 96-127,200,3.979777145385742,0.924276294708252,6.954067252159118,8.387027473449708,3.2013364272117615,13.722346648216247,-0.11063046018748565,-0.30011762518419266,0.0703923133851645
amp250_freq26,250,26,Group 0-31,200,0.9597353363037109,-5.197173398971558,6.903707563400254,7.904623794555664,-2.367414916992187,18.13793206977844,-0.04292157954219911,-0.22320909595159868,0.1469679193283631
amp250_freq26,250,26,Group 32-63,200,2.0293611526489257,-2.646745141983032,6.441469613075255,7.85654312133789,-0.20983786964416504,15.778989243507382,-0.04745269899188305,-0.24571680509857197,0.14977707347019642
amp250_freq26,250,26,Group 64-95,200,0.7428691101074218,-3.7246461448669437,5.118775981903072,11.794930114746094,3.803044174194336,20.348219239234925,-0.07117104549262131,-0.2372260824888671,0.10991681062524711
amp250_freq26,250,26,Group 96-127,200,0.19703433990478517,-2.8809988899230956,3.219250832557676,3.2100362968444824,-1.9960078921318054,8.674072141170502,0.01916237973710495,-0.1829547376667191,0.21977376233509174
